bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,author_id,language_id,publisher_id
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618260587,9780618260584,eng,1216,1618,140,10/1/2002,Houghton Mifflin,7,1,11
35,The Lord of the Rings (The Lord of the Rings  #1-3),Alan Lee,4.5,0618260587,9780618260584,eng,1216,1618,140,10/1/2002,Houghton Mifflin,8,1,11
36,The Lord of the Rings: Weapons and Warfare,Chris Smith,4.53,0618391002,9780618391004,eng,218,19822,46,11/5/2003,Houghton Mifflin,9,1,11
36,The Lord of the Rings: Weapons and Warfare,Christopher Lee,4.53,0618391002,9780618391004,eng,218,19822,46,11/5/2003,Houghton Mifflin,10,1,11
36,The Lord of the Rings: Weapons and Warfare,Richard Taylor,4.53,0618391002,9780618391004,eng,218,19822,46,11/5/2003,Houghton Mifflin,11,1,11
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,9780618510825,eng,224,359,6,11/15/2004,Houghton Mifflin,12,1,11
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,3.84,097669400X,9780976694007,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,13,1,12
45,Agile Web Development with Rails: A Pragmatic Guide,David Heinemeier Hansson,3.84,097669400X,9780976694007,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,14,1,12
45,Agile Web Development with Rails: A Pragmatic Guide,Leon Breedt,3.84,097669400X,9780976694007,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,15,1,12
45,Agile Web Development with Rails: A Pragmatic Guide,Mike Clark,3.84,097669400X,9780976694007,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,16,1,12
45,Agile Web Development with Rails: A Pragmatic Guide,Thomas Fuchs,3.84,097669400X,9780976694007,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,17,1,12
45,Agile Web Development with Rails: A Pragmatic Guide,Andreas Schwarz,3.84,097669400X,9780976694007,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,18,1,12
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,0689840926,9780689840920,eng,208,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,19,1,13
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes,4.0,1557344493,9781557344496,eng,48,36,2,8/28/1994,Teacher Created Resources,20,1,14
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Edward Sciranko,4.0,1557344493,9781557344496,eng,48,36,2,8/28/1994,Teacher Created Resources,21,1,14
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Keith Vasconcelles,4.0,1557344493,9781557344496,eng,48,36,2,8/28/1994,Teacher Created Resources,22,1,14
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,0385326505,9780385326506,eng,144,2067,334,1/23/2001,Delacorte Press,19,1,15
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,eng,56,6,0,6/10/2003,Cherry Lane Music Company,23,1,16
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781595580276,eng,228,99,16,11/1/2005,The New Press,24,1,17
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight,3.76,1595962808,9781595962805,eng,304,167,4,11/1/2005,Changeling Press,25,1,18
57,A Changeling for All Seasons (Changeling Seasons #1),Sahara Kelly,3.76,1595962808,9781595962805,eng,304,167,4,11/1/2005,Changeling Press,26,1,18
57,A Changeling for All Seasons (Changeling Seasons #1),Judy Mays,3.76,1595962808,9781595962805,eng,304,167,4,11/1/2005,Changeling Press,27,1,18
57,A Changeling for All Seasons (Changeling Seasons #1),Marteeka Karland,3.76,1595962808,9781595962805,eng,304,167,4,11/1/2005,Changeling Press,28,1,18
57,A Changeling for All Seasons (Changeling Seasons #1),Kate Douglas,3.76,1595962808,9781595962805,eng,304,167,4,11/1/2005,Changeling Press,29,1,18
57,A Changeling for All Seasons (Changeling Seasons #1),Shelby Morgen,3.76,1595962808,9781595962805,eng,304,167,4,11/1/2005,Changeling Press,30,1,18
57,A Changeling for All Seasons (Changeling Seasons #1),Lacey Savage,3.76,1595962808,9781595962805,eng,304,167,4,11/1/2005,Changeling Press,31,1,18
57,A Changeling for All Seasons (Changeling Seasons #1),Kate Hill,3.76,1595962808,9781595962805,eng,304,167,4,11/1/2005,Changeling Press,32,1,18
57,A Changeling for All Seasons (Changeling Seasons #1),Willa Okati,3.76,1595962808,9781595962805,eng,304,167,4,11/1/2005,Changeling Press,33,1,18
58,Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,9780670059676,eng,256,978,111,8/17/2006,Viking Juvenile,34,1,19
59,The Changeling Sea,Patricia A. Mckillip,4.06,0141312629,9780141312620,eng,137,4454,302,4/14/2003,Firebird,35,1,20
61,The Changeling,Zilpha Keatley Snyder,4.17,0595321801,9780595321803,eng,228,1176,96,6/8/2004,iUniverse,36,1,21
63,The Changeling,Kate Horsley,3.55,1590301943,9781590301944,eng,339,301,43,4/12/2005,Shambhala,37,1,22
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,0449146979,9780449146972,eng,369,345,12,8/28/1990,Ivy Books,38,1,23
67,The Known World,Edward P. Jones,3.83,0061159174,9780061159176,eng,388,29686,2626,8/29/2006,Amistad,39,1,24
68,The Known World,Edward P. Jones,3.83,006076273X,9780060762735,eng,14,55,12,6/15/2004,HarperAudio,39,1,25
68,The Known World,Kevin R. Free,3.83,006076273X,9780060762735,eng,14,55,12,6/15/2004,HarperAudio,40,1,25
69,The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,576,22,3,6/15/2004,Harper Paperbacks,39,1,26
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,eng,334,1456,82,5/15/2006,FT Press,41,1,27
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,eng,352,52,4,12/14/2005,Archaia,42,1,28
74,The John McPhee Reader (John McPhee Reader  #1),John Mcphee,4.42,0374517193,9780374517199,eng,416,562,37,6/1/1982,Farrar  Straus and Giroux,43,1,29
74,The John McPhee Reader (John McPhee Reader  #1),William Howarth,4.42,0374517193,9780374517199,eng,416,562,37,6/1/1982,Farrar  Straus and Giroux,44,1,29
75,Uncommon Carriers,John Mcphee,3.95,0374280398,9780374280390,eng,248,1630,203,5/16/2006,Farrar Straus and Giroux,43,1,30
76,Heirs of General Practice,John Mcphee,4.17,0374519749,9780374519742,eng,128,268,22,4/1/1986,Farrar  Straus and Giroux,43,1,29
77,The Control of Nature,John Mcphee,4.24,0374522596,9780374522599,eng,288,3498,305,9/1/1990,Farrar  Straus and Giroux,43,1,29
78,Annals of the Former World,John Mcphee,4.34,0374518734,9780374518738,eng,720,3115,228,1/6/1999,Farrar  Straus and Giroux,43,1,29
79,Coming Into the Country,John Mcphee,4.22,0374522871,9780374522872,eng,448,5704,261,4/1/1991,Farrar  Straus and Giroux,43,1,29
80,La Place de la Concorde Suisse,John Mcphee,3.92,0374519323,9780374519322,fre,160,698,52,4/1/1994,Farrar  Straus and Giroux,43,2,29
81,Giving Good Weight,John Mcphee,4.23,0374516006,9780374516000,eng,288,542,36,4/1/1994,Farrar  Straus and Giroux,43,1,29
83,Rising from the Plains,John Mcphee,4.23,0374520658,9780374520656,eng,208,1341,98,11/1/1987,Farrar  Straus and Giroux,43,1,29
85,The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,9780822205104,eng,81,1423,70,3/1/2002,Dramatists Play Service Inc.,45,1,31
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,0679734996,9780679734994,eng,249,2766,64,7/2/1991,Vintage,45,1,32
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9781596670235,eng,138,31,1,3/29/2006,Routledge,46,1,33
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9781581807745,eng,128,62,4,3/14/2006,North Light Books,47,1,34
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker,4.46,0800793617,9780800793616,eng,192,860,53,9/1/2003,Chosen Books,48,1,35
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Rolland Baker,4.46,0800793617,9780800793616,eng,192,860,53,9/1/2003,Chosen Books,49,1,35
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,0871202867,9780871202864,eng,108,77,2,1/28/1997,Association for Supervision & Curriculum Development,46,1,36
93,Heidi (Heidi  #1-2),Johanna Spyri,3.99,0753454947,9780753454947,eng,352,153317,2257,11/15/2002,Kingfisher,50,1,37
93,Heidi (Heidi  #1-2),Beverly Cleary,3.99,0753454947,9780753454947,eng,352,153317,2257,11/15/2002,Kingfisher,51,1,37
93,Heidi (Heidi  #1-2),Angelo Rinaldi,3.99,0753454947,9780753454947,eng,352,153317,2257,11/15/2002,Kingfisher,52,1,37
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,0871209993,9780871209993,eng,192,55,5,11/15/2004,ASCD,46,1,38
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker,4.46,1852402873,9781852402877,eng,192,34,6,4/28/2003,Sovereign World,49,1,39
96,There's Always Enough: The Miraculous Move of God in Mozambique,Heidi Baker,4.46,1852402873,9781852402877,eng,192,34,6,4/28/2003,Sovereign World,48,1,39
98,What to Expect the First Year (What to Expect),Heidi Murkoff,3.89,0761129588,9780761129585,eng,832,11797,659,10/16/2003,Workman Publishing Company,53,1,40
98,What to Expect the First Year (What to Expect),Sharon Mazel,3.89,0761129588,9780761129585,eng,832,11797,659,10/16/2003,Workman Publishing Company,54,1,40
98,What to Expect the First Year (What to Expect),Arlene Eisenberg,3.89,0761129588,9780761129585,eng,832,11797,659,10/16/2003,Workman Publishing Company,55,1,40
98,What to Expect the First Year (What to Expect),Sandee Hathaway,3.89,0761129588,9780761129585,eng,832,11797,659,10/16/2003,Workman Publishing Company,56,1,40
98,What to Expect the First Year (What to Expect),Mark D. Widome,3.89,0761129588,9780761129585,eng,832,11797,659,10/16/2003,Workman Publishing Company,57,1,40
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss,3.82,0972016414,9780972016414,eng,123,34,8,5/10/2004,One Hour Entertainment,58,1,41
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Libby Keatinge,3.82,0972016414,9780972016414,eng,123,34,8,5/10/2004,One Hour Entertainment,59,1,41
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9781581805635,eng,128,78,4,8/19/2004,North Light Books,47,1,34
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,0441294677,9780441294671,eng,423,2785,166,6/15/1987,Ace Books,60,1,42
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,9780441102679,eng,436,38778,568,7/1/1987,Ace Books,60,1,42
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,9780441172696,eng,331,97494,2359,7/15/1987,Ace Books,60,1,42
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,9780765306470,eng,592,784,21,7/1/2004,Tor Books,61,1,43
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,0399128980,9780399128981,eng,480,272,20,4/16/1984,Putnam,60,1,44
110,The Road to Dune,Frank Herbert,3.88,0765353709,9780765353702,eng,426,4789,83,8/29/2006,Tor Science Fiction,60,1,45
110,The Road to Dune,Brian Herbert,3.88,0765353709,9780765353702,eng,426,4789,83,8/29/2006,Tor Science Fiction,61,1,45
110,The Road to Dune,Kevin J. Anderson,3.88,0765353709,9780765353702,eng,426,4789,83,8/29/2006,Tor Science Fiction,62,1,45
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,0441328008,9780441328000,eng,471,45388,644,8/15/1987,Ace Books,60,1,42
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,9780618212903,eng,192,26153,102,6/12/2002,Houghton Mifflin,63,1,11
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544,69167,4551,9/29/1996,Ballantine Books,64,1,10
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,9780385732543,eng,291,45,13,9/13/2005,Delacorte Books for Young Readers,64,1,46
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell,4.28,0785260056,9780785260059,eng,256,16,1,11/1/2004,Thomas Nelson,65,1,47
129,The Power of One: One Person  One Rule  One Month,Stephen R. Graves,4.28,0785260056,9780785260059,eng,256,16,1,11/1/2004,Thomas Nelson,66,1,47
129,The Power of One: One Person  One Rule  One Month,Thomas G. Addington,4.28,0785260056,9780785260059,eng,256,16,1,11/1/2004,Thomas Nelson,67,1,47
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,0471780936,9780471780939,eng,205,174,16,5/19/2006,Wiley,68,1,48
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,0325001537,9780325001531,eng,240,10,0,2/7/2000,Heinemann Drama,69,1,49
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9780060762872,eng,336,76,9,5/3/2005,William Morrow Paperbacks,70,1,9
133,eBay for Dummies,Marsha Collier,3.5,0470045299,9780470045299,eng,386,111,9,10/30/2006,Wiley,71,1,48
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta,3.62,0072262788,9780072262780,eng,260,24,0,1/24/2006,McGraw-Hill,72,1,50
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Lisa Suttora,3.62,0072262788,9780072262780,eng,260,24,0,1/24/2006,McGraw-Hill,73,1,50
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,9780764569241,eng,384,55,4,9/17/2004,Wiley,71,1,48
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,9780471933823,eng,260,9,0,6/6/2006,Wiley,74,1,48
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,0764559915,9780764559914,eng,391,22,1,5/31/2004,Wiley,71,1,48
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,9780764584381,eng,864,17,3,4/25/2005,Wiley,71,1,48
141,Ruby Cookbook,Lucas Carlson,3.84,0596523696,9780596523695,eng,873,166,4,7/29/2006,O'Reilly Media,75,1,51
141,Ruby Cookbook,Leonard Richardson,3.84,0596523696,9780596523695,eng,873,166,4,7/29/2006,O'Reilly Media,76,1,51
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,9780806523491,eng,240,50,5,5/3/2005,Citadel,77,1,52
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9780806525365,eng,206,13,2,5/3/2005,Citadel,77,1,52
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,0596527314,9780596527310,eng,514,64,1,1/1/2007,O'Reilly Media,78,1,51
151,Anna Karenina,Leo Tolstoy,4.05,0143035002,9780143035008,eng,838,16643,1851,5/31/2004,Penguin Classics,79,1,53
151,Anna Karenina,Richard Pevear,4.05,0143035002,9780143035008,eng,838,16643,1851,5/31/2004,Penguin Classics,80,1,53
151,Anna Karenina,Larissa Volokhonsky,4.05,0143035002,9780143035008,eng,838,16643,1851,5/31/2004,Penguin Classics,81,1,53
152,Anna Karenina,Leo Tolstoy,4.05,0451528611,9780451528612,eng,960,109420,5696,11/5/2002,Signet,79,1,54
152,Anna Karenina,David Magarshack,4.05,0451528611,9780451528612,eng,960,109420,5696,11/5/2002,Signet,82,1,54
152,Anna Karenina,Priscilla Meyer,4.05,0451528611,9780451528612,eng,960,109420,5696,11/5/2002,Signet,83,1,54
153,Anna Karenina,Leo Tolstoy,4.05,0140449175,9780140449174,eng,837,2904,309,1/30/2003,Penguin Books,79,1,55
153,Anna Karenina,Richard Pevear,4.05,0140449175,9780140449174,eng,837,2904,309,1/30/2003,Penguin Books,80,1,55
153,Anna Karenina,Larissa Volokhonsky,4.05,0140449175,9780140449174,eng,837,2904,309,1/30/2003,Penguin Books,81,1,55
153,Anna Karenina,John Bayley,4.05,0140449175,9780140449174,eng,837,2904,309,1/30/2003,Penguin Books,84,1,55
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman,3.85,0822001837,9780822001836,eng,80,16,3,11/26/1965,Cliffs Notes,85,1,56
154,CliffsNotes on Tolstoy's Anna Karenina,Leo Tolstoy,3.85,0822001837,9780822001836,eng,80,16,3,11/26/1965,Cliffs Notes,79,1,56
155,Anna Karenina,Leo Tolstoy,4.05,1593080271,9781593080273,eng,803,9564,726,7/1/2003,Barnes & Noble Classics,79,1,57
155,Anna Karenina,Amy Mandelker,4.05,1593080271,9781593080273,eng,803,9564,726,7/1/2003,Barnes & Noble Classics,86,1,57
155,Anna Karenina,Constance Garnett,4.05,1593080271,9781593080273,eng,803,9564,726,7/1/2003,Barnes & Noble Classics,87,1,57
156,Anna Karenina,Leo Tolstoy,4.05,0486437965,9780486437965,eng,752,474,72,11/23/2004,Dover Publications,79,1,58
156,Anna Karenina,Louise Maude,4.05,0486437965,9780486437965,eng,752,474,72,11/23/2004,Dover Publications,88,1,58
156,Anna Karenina,Aylmer Maude,4.05,0486437965,9780486437965,eng,752,474,72,11/23/2004,Dover Publications,89,1,58
157,Anna Karenina,Leo Tolstoy,4.05,1593081774,9781593081775,eng,803,303,48,8/26/2004,Barnes & Noble,79,1,59
157,Anna Karenina,Constance Garnett,4.05,1593081774,9781593081775,eng,803,303,48,8/26/2004,Barnes & Noble,87,1,59
157,Anna Karenina,Amy Mandelker,4.05,1593081774,9781593081775,eng,803,303,48,8/26/2004,Barnes & Noble,86,1,59
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,0778322270,9780778322276,eng,360,411,65,1/28/2006,Mira books,90,1,60
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9780521313254,eng,128,1204,33,11/26/1987,Cambridge University Press,91,1,61
162,Untouchable,Mulk Raj Anand,3.71,0140183957,9780140183955,eng,160,3429,279,7/3/1990,Penguin Books,92,1,55
162,Untouchable,E.M. Forster,3.71,0140183957,9780140183955,eng,160,3429,279,7/3/1990,Penguin Books,93,1,55
163,The Untouchable,John Banville,3.95,0679767479,9780679767473,eng,367,2163,216,6/30/1998,Vintage,94,1,32
164,The Untouchables,Eliot Ness,3.89,1568491980,9781568491981,eng,256,613,31,2/1/1996,Buccaneer Books,95,1,62
164,The Untouchables,Oscar Fraley,3.89,1568491980,9781568491981,eng,256,613,31,2/1/1996,Buccaneer Books,96,1,62
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9780743270793,eng,320,308,40,9/27/2005,Scribner,97,1,63
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar,4.2,0932863051,9780932863058,eng,100,10,0,1/28/1995,Clarity Press,98,1,64
166,Dalit: The Black Untaouchables of India,Y.N. Kly,4.2,0932863051,9780932863058,eng,100,10,0,1/28/1995,Clarity Press,99,1,64
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon,3.65,0742508803,9780742508804,eng,224,16,4,12/20/2000,Rowman & Littlefield Publishers,100,1,65
168,Growing Up Untouchable in India: A Dalit Autobiography,Gail Omvedt,3.65,0742508803,9780742508804,eng,224,16,4,12/20/2000,Rowman & Littlefield Publishers,101,1,65
168,Growing Up Untouchable in India: A Dalit Autobiography,Eleanor Zelliot,3.65,0742508803,9780742508804,eng,224,16,4,12/20/2000,Rowman & Littlefield Publishers,102,1,65
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,0205358624,9780205358625,eng,216,10,0,9/22/2003,Pearson,103,1,66
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello,4.0,1557344035,9781557344038,eng,48,17,0,9/28/1991,Teacher Created Resources,104,1,14
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",Patty Carratello,4.0,1557344035,9781557344038,eng,48,17,0,9/28/1991,Teacher Created Resources,105,1,14
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",Theresa Wright,4.0,1557344035,9781557344038,eng,48,17,0,9/28/1991,Teacher Created Resources,106,1,14
180,Wrinkles in Time,George Smoot,4.01,0380720442,9780380720446,eng,360,1035,23,10/1/1994,Harper Perennial,107,1,67
180,Wrinkles in Time,Keay Davidson,4.01,0380720442,9780380720446,eng,360,1035,23,10/1/1994,Harper Perennial,108,1,67
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,0821925326,9780821925324,eng,250,36,6,5/1/2002,EMC,109,1,68
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,0821925326,9780821925324,eng,250,36,6,5/1/2002,Paradigm Publishing,109,1,69
182,Literature Circle Guide: A Wrinkle in Time,Tara Maccarthy,3.6,043927169X,9780439271691,eng,32,15,0,1/1/2002,Teaching Resources,110,1,70
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,0606105263,9780606105262,spa,205,6,1,6/1/1984,Turtleback Books,109,3,71
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,0751506435,9780751506433,eng,367,376,17,6/1/1994,Little  Brown Book Group,111,1,72
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9780060786717,eng,352,3086,237,1/3/2006,William Morrow,112,1,73
207,Long Way Round: Chasing Shadows Across the World,Ewan Mcgregor,3.94,0743499344,9780743499347,eng,320,352,44,11/1/2005,Atria Books,113,1,74
207,Long Way Round: Chasing Shadows Across the World,Charley Boorman,3.94,0743499344,9780743499347,eng,320,352,44,11/1/2005,Atria Books,114,1,74
207,Long Way Round: Chasing Shadows Across the World,Robert Uhlig,3.94,0743499344,9780743499347,eng,320,352,44,11/1/2005,Atria Books,115,1,74
